Employee_ID,Name,Gender,Age,Department,City,Experience_Years,Salary,Performance_Score
EMP1000,Employee_0,Male,39,HR,Chennai,7,122532,5
EMP1001,Employee_1,Female,47,Marketing,Delhi,20,117658,6
EMP1002,Employee_2,Male,55,HR,Bangalore,1,148633,3
EMP1003,Employee_3,Male,31,Operations,Delhi,8,125386,8
EMP1004,Employee_4,Male,57,HR,Pune,16,52350,1
EMP1005,Employee_5,Female,35,Finance,Mumbai,14,118008,6
EMP1006,Employee_6,Male,52,Marketing,Chennai,12,119297,4
EMP1007,Employee_7,Male,36,Marketing,Mumbai,23,50351,1
EMP1008,Employee_8,Male,29,Operations,Mumbai,15,113668,7
EMP1009,Employee_9,Female,35,Finance,Chennai,28,139585,9
EMP1010,Employee_10,Male,44,IT,Bangalore,34,171377,4
EMP1011,Employee_11,Male,42,HR,Pune,2,100353,4
EMP1012,Employee_12,Male,37,Sales,Delhi,32,90953,6
EMP1013,Employee_13,Male,39,HR,Hyderabad,23,82458,3
EMP1014,Employee_14,Female,45,HR,Delhi,22,45358,6
EMP1015,Employee_15,Male,47,IT,Hyderabad,25,28267,7
EMP1016,Employee_16,Female,46,HR,Delhi,22,107745,3
EMP1017,Employee_17,Female,50,Finance,Chennai,22,114588,7
EMP1018,Employee_18,Female,36,Finance,Pune,6,63513,3
EMP1019,Employee_19,Male,22,Marketing,Hyderabad,15,182164,2
EMP1020,Employee_20,Female,46,Operations,Bangalore,33,36338,4
EMP1021,Employee_21,Male,28,Sales,Delhi,8,156484,8
EMP1022,Employee_22,Female,30,HR,Delhi,5,32543,9
EMP1023,Employee_23,Female,45,HR,Hyderabad,4,130891,7
EMP1024,Employee_24,Female,22,IT,Bangalore,6,189568,1
EMP1025,Employee_25,Female,29,Operations,Bangalore,32,85692,3
EMP1026,Employee_26,Female,45,Finance,Chennai,30,69425,9
EMP1027,Employee_27,Female,32,Sales,Chennai,16,63756,1
EMP1028,Employee_28,Female,38,Marketing,Chennai,13,43888,9
EMP1029,Employee_29,Female,29,Finance,Chennai,30,191807,8
EMP1030,Employee_30,Male,56,Operations,Chennai,19,72295,1
EMP1031,Employee_31,Male,56,Marketing,Chennai,17,139352,6
EMP1032,Employee_32,Female,54,IT,Pune,19,108042,5
EMP1033,Employee_33,Female,26,IT,Bangalore,28,110999,6
EMP1034,Employee_34,Female,49,HR,Chennai,26,42955,5
EMP1035,Employee_35,Male,28,Operations,Bangalore,26,62841,6
EMP1036,Employee_36,Female,30,Sales,Bangalore,23,95640,5
EMP1037,Employee_37,Male,29,Marketing,Mumbai,9,190983,5
EMP1038,Employee_38,Male,33,Finance,Pune,12,163429,4
